"size_port","min_size","year"
5,209642.125,1970
2,11037.25,1970
3,26760.5,1970
4,66000.375,1970
1,202.0625,1970
5,302013,1971
2,14726.25,1971
3,35933.75,1971
4,92726.875,1971
1,784.6875,1971
4,96067.25,1972
2,15093,1972
3,38187.5,1972
5,322932,1972
1,1254.25,1972
5,139187.75,1973
2,7225,1973
4,39730.5,1973
1,193.5,1973
3,16069.625,1973
5,98373.25,1974
2,4305,1974
4,26666.25,1974
1,360,1974
3,10570,1974
5,114819.375,1975
2,4375,1975
4,30936.125,1975
1,330.75,1975
3,11176.875,1975
5,128270.25,1976
3,12632.5,1976
4,35157.5,1976
1,225.3125,1976
2,4835.5,1976
5,142073.625,1977
4,37233,1977
1,165.6875,1977
2,4893.75,1977
3,13105,1977
5,172912.5,1978
4,48192,1978
1,292.5,1978
2,6502.5,1978
3,17745,1978
5,181030.125,1979
4,49550.75,1979
1,202.5,1979
2,6542.25,1979
3,17776.625,1979
5,204237.375,1980
4,54902.25,1980
1,157.5,1980
2,6580,1980
3,18828.25,1980
5,268191,1981
4,71378.125,1981
1,281.625,1981
2,9457.3125,1981
3,25308.75,1981
5,206071.5,1982
4,54250,1982
1,27.703125,1982
2,6240.5,1982
3,18043.5,1982
4,89875,1983
1,306.46875,1983
5,317093.25,1983
3,31588,1983
2,11128,1983
5,272355,1984
4,72099.125,1984
1,251.25,1984
3,22155,1984
2,8093.75,1984
4,80690.625,1985
1,195,1985
2,8078,1985
5,338520,1985
3,24639.125,1985
2,9870,1986
1,50.375,1986
3,30239.25,1986
4,96940.875,1986
5,442500,1986
1,332.0625,1987
2,9580.59375,1987
4,90985.125,1987
3,30170,1987
5,416963.25,1987
1,49.21875,1988
2,7503,1988
4,77569.125,1988
3,23436,1988
5,360612,1988
1,67.5,1989
2,8099.4375,1989
4,87490.5,1989
3,26111.25,1989
5,413540,1989
1,130.375,1990
3,25082.75,1990
2,7661.5,1990
4,85713.75,1990
5,410618.25,1990
1,22.359375,1991
4,92939,1991
3,26827,1991
2,7752,1991
5,439309.75,1991
2,10568.25,1992
3,32971.75,1992
4,112392,1992
1,26.875,1992
5,487250,1992
2,13270.5,1993
3,38959.375,1993
4,109081,1993
1,53.125,1993
5,489263.5,1993
2,15424.5,1994
1,52.109375,1994
3,43060,1994
4,122793.75,1994
5,501648.125,1994
2,16446,1995
3,45150,1995
1,32.34375,1995
4,135074.125,1995
5,535326.75,1995
1,8.75,1996
2,22728.75,1996
3,64359.75,1996
4,186855,1996
5,710036,1996
1,4.375,1997
3,62017.1875,1997
2,21069.75,1997
4,197424,1997
5,809773.75,1997
1,25.3125,1998
3,85077,1998
2,26669.125,1998
4,262753,1998
5,1001600,1998
1,47.5625,1999
3,70593.75,1999
2,24636.71875,1999
4,232824.8125,1999
5,953034.5,1999
1,52.34375,2000
3,76895,2000
4,236015.625,2000
2,25439.375,2000
5,1026230.625,2000
2,26142.3107967377,2001
3,81091.5696377754,2001
1,276.75,2001
4,295467.866447449,2001
5,1177761.92651367,2001
1,34.2000007629395,2002
3,94983.0374641418,2002
2,28228.2006454468,2002
4,327348.089813232,2002
5,1266165.93147278,2002
1,88.5500007867813,2003
3,106856.283021927,2003
2,32620.5,2003
4,348422.365369797,2003
5,1292400.05493164,2003
1,315,2004
3,170245.529497147,2004
2,56340.8988628387,2004
4,521844.201478958,2004
5,1743115.02845383,2004
1,218.90000474453,2005
3,194334.715656281,2005
2,64160.7986698151,2005
4,587121.483718872,2005
5,1946763.71949005,2005
1,295.200011730194,2006
2,80657.2174501419,2006
3,244006.079156876,2006
4,696024.73299408,2006
5,2304220.61393547,2006
1,292.319997787476,2007
2,92304.72955513,2007
3,280044.111995697,2007
4,804034.823638916,2007
5,2944553.9473114,2007
1,577.209966182709,2008
2,73487.1692914963,2008
3,231657.441669464,2008
4,700306.764621735,2008
5,2681964,2008
1,362.839999079704,2009
2,47066.0017776489,2009
3,164714.883544922,2009
4,517558.366863251,2009
5,1882294.42070675,2009
2,64696,2010
4,684321.997741699,2010
1,533.56502866745,2010
5,2406061.26264954,2010
3,225118.147622108,2010
2,78550.8036804199,2011
1,1316.38502562046,2011
4,919457.372589111,2011
5,3241330.21876144,2011
3,280340.245628357,2011
2,66547.4590620995,2012
4,807868.613960266,2012
1,322.560012817383,2012
5,2835796.28003311,2012
3,248964.303860664,2012
1,267.039090394974,2013
3,348059.291184425,2013
4,1155907.12417221,2013
5,3949170.21894836,2013
2,89318.4035491943,2013
1,1789.99996185303,2014
2,115321.043132305,2014
4,1358687.32123756,2014
5,4598631.24430847,2014
3,412940.918865204,2014
1,654.999971389771,2015
2,113767.673858643,2015
4,1415317.16983795,2015
5,4833262.24911118,2015
3,438812.169754028,2015
